Rank,MovieTitle,Year,Rating,Votes
1,The Shawshank Redemption,Unknown,9.3,N/A
2,The Godfather,Unknown,9.2,N/A
3,The Dark Knight,Unknown,9.0,N/A
4,The Godfather Part II,Unknown,9.0,N/A
5,12 Angry Men,Unknown,9.0,N/A
6,The Lord of the Rings: The Return of the King,Unknown,9.0,N/A
7,Schindler&apos;s List,Unknown,9.0,N/A
8,Pulp Fiction,Unknown,8.8,N/A
9,The Lord of the Rings: The Fellowship of the Ring,Unknown,8.9,N/A
10,"Il buono, il brutto, il cattivo",Unknown,8.8,N/A
11,Forrest Gump,Unknown,8.8,N/A
12,The Lord of the Rings: The Two Towers,Unknown,8.8,N/A
13,Fight Club,Unknown,8.8,N/A
14,Inception,Unknown,8.8,N/A
15,Star Wars: Episode V - The Empire Strikes Back,Unknown,8.7,N/A
16,The Matrix,Unknown,8.7,N/A
17,GoodFellas,Unknown,8.7,N/A
18,Interstellar,Unknown,8.7,N/A
19,One Flew Over the Cuckoo&apos;s Nest,Unknown,8.7,N/A
20,Se7en,Unknown,8.6,N/A
21,It&apos;s a Wonderful Life,Unknown,8.6,N/A
22,The Silence of the Lambs,Unknown,8.6,N/A
23,Shichinin no samurai,Unknown,8.6,N/A
24,Saving Private Ryan,Unknown,8.6,N/A
25,Cidade de Deus,Unknown,8.6,N/A
26,The Green Mile,Unknown,8.6,N/A
27,La vita è bella,Unknown,8.6,N/A
28,Terminator 2: Judgment Day,Unknown,8.6,N/A
29,Star Wars,Unknown,8.6,N/A
30,Back to the Future,Unknown,8.5,N/A
31,Sen to Chihiro no kamikakushi,Unknown,8.6,N/A
32,The Pianist,Unknown,8.5,N/A
33,Gladiator,Unknown,8.5,N/A
34,Gisaengchung,Unknown,8.5,N/A
35,Psycho,Unknown,8.5,N/A
36,The Lion King,Unknown,8.5,N/A
37,Hotaru no haka,Unknown,8.5,N/A
38,The Departed,Unknown,8.5,N/A
39,Whiplash,Unknown,8.5,N/A
40,Seppuku,Unknown,8.6,N/A
41,The Prestige,Unknown,8.5,N/A
42,American History X,Unknown,8.5,N/A
43,Léon,Unknown,8.5,N/A
44,Spider-Man: Across the Spider-Verse,Unknown,8.5,N/A
45,Casablanca,Unknown,8.5,N/A
46,The Usual Suspects,Unknown,8.5,N/A
47,Nuovo Cinema Paradiso,Unknown,8.5,N/A
48,Intouchables,Unknown,8.5,N/A
49,Alien,Unknown,8.5,N/A
50,Modern Times,Unknown,8.5,N/A
51,Rear Window,Unknown,8.5,N/A
52,C&apos;era una volta il West,Unknown,8.5,N/A
53,Django Unchained,Unknown,8.5,N/A
54,City Lights,Unknown,8.5,N/A
55,Apocalypse Now,Unknown,8.4,N/A
56,WALL·E,Unknown,8.4,N/A
57,Dune: Part Two,Unknown,8.5,N/A
58,Memento,Unknown,8.4,N/A
59,Raiders of the Lost Ark,Unknown,8.4,N/A
60,Das Leben der Anderen,Unknown,8.4,N/A
61,Avengers: Infinity War,Unknown,8.4,N/A
62,Sunset Boulevard,Unknown,8.4,N/A
63,Spider-Man: Into the Spider-Verse,Unknown,8.4,N/A
64,Witness for the Prosecution,Unknown,8.4,N/A
65,Paths of Glory,Unknown,8.4,N/A
66,The Shining,Unknown,8.4,N/A
67,The Great Dictator,Unknown,8.4,N/A
68,12th Fail,Unknown,8.7,N/A
69,Inglourious Basterds,Unknown,8.4,N/A
70,Aliens,Unknown,8.4,N/A
71,The Dark Knight Rises,Unknown,8.4,N/A
72,Coco,Unknown,8.4,N/A
73,Amadeus,Unknown,8.4,N/A
74,Toy Story,Unknown,8.3,N/A
75,Avengers: Endgame,Unknown,8.4,N/A
76,Good Will Hunting,Unknown,8.3,N/A
77,Oldeuboi,Unknown,8.3,N/A
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Unknown,8.3,N/A
79,Das Boot,Unknown,8.4,N/A
80,Braveheart,Unknown,8.3,N/A
81,American Beauty,Unknown,8.3,N/A
82,Tengoku to jigoku,Unknown,8.4,N/A
83,Mononoke-hime,Unknown,8.3,N/A
84,Kimi no na wa.,Unknown,8.4,N/A
85,3 Idiots,Unknown,8.4,N/A
86,Joker,Unknown,8.3,N/A
87,Once Upon a Time in America,Unknown,8.3,N/A
88,Capharnaüm,Unknown,8.4,N/A
89,Singin&apos; in the Rain,Unknown,8.3,N/A
90,Idi i smotri,Unknown,8.3,N/A
91,Requiem for a Dream,Unknown,8.3,N/A
92,Star Wars: Episode VI - Return of the Jedi,Unknown,8.3,N/A
93,Toy Story 3,Unknown,8.3,N/A
94,Jagten,Unknown,8.3,N/A
95,Ikiru,Unknown,8.3,N/A
96,Eternal Sunshine of the Spotless Mind,Unknown,8.3,N/A
97,2001: A Space Odyssey,Unknown,8.3,N/A
98,Incendies,Unknown,8.3,N/A
99,The Apartment,Unknown,8.3,N/A
100,Reservoir Dogs,Unknown,8.3,N/A
101,Lawrence of Arabia,Unknown,8.3,N/A
102,Hababam Sinifi: Sinifta Kaldi,Unknown,8.7,N/A
103,Scarface,Unknown,8.3,N/A
104,Double Indemnity,Unknown,8.3,N/A
105,Heat,Unknown,8.3,N/A
106,North by Northwest,Unknown,8.3,N/A
107,Up,Unknown,8.3,N/A
108,Citizen Kane,Unknown,8.3,N/A
109,M - Eine Stadt sucht einen Mörder,Unknown,8.3,N/A
110,Full Metal Jacket,Unknown,8.2,N/A
111,Vertigo,Unknown,8.2,N/A
112,Le fabuleux destin d&apos;Amélie Poulain,Unknown,8.3,N/A
113,Jodaeiye Nader az Simin,Unknown,8.3,N/A
114,Taare Zameen Par,Unknown,8.3,N/A
115,To Kill a Mockingbird,Unknown,8.3,N/A
116,Die Hard,Unknown,8.2,N/A
117,A Clockwork Orange,Unknown,8.2,N/A
118,The Sting,Unknown,8.2,N/A
119,Indiana Jones and the Last Crusade,Unknown,8.2,N/A
120,Oppenheimer,Unknown,8.3,N/A
121,Metropolis,Unknown,8.3,N/A
122,Snatch,Unknown,8.2,N/A
123,1917,Unknown,8.2,N/A
124,L.A. Confidential,Unknown,8.2,N/A
125,Ladri di biciclette,Unknown,8.2,N/A
126,Der Untergang,Unknown,8.2,N/A
127,Dangal,Unknown,8.3,N/A
128,The Wolf of Wall Street,Unknown,8.2,N/A
129,Hamilton,Unknown,8.3,N/A
130,Taxi Driver,Unknown,8.2,N/A
131,Green Book,Unknown,8.2,N/A
132,Batman Begins,Unknown,8.2,N/A
133,The Truman Show,Unknown,8.2,N/A
134,Per qualche dollaro in più,Unknown,8.2,N/A
135,Judgment at Nuremberg,Unknown,8.3,N/A
136,Some Like It Hot,Unknown,8.2,N/A
137,Shutter Island,Unknown,8.2,N/A
138,The Kid,Unknown,8.2,N/A
139,The Father,Unknown,8.2,N/A
140,All About Eve,Unknown,8.2,N/A
141,Jurassic Park,Unknown,8.2,N/A
142,There Will Be Blood,Unknown,8.2,N/A
143,The Sixth Sense,Unknown,8.2,N/A
144,Casino,Unknown,8.2,N/A
145,Ran,Unknown,8.2,N/A
146,Top Gun: Maverick,Unknown,8.2,N/A
147,No Country for Old Men,Unknown,8.2,N/A
148,The Thing,Unknown,8.2,N/A
149,El laberinto del fauno,Unknown,8.2,N/A
150,Unforgiven,Unknown,8.2,N/A
151,Kill Bill: Vol. 1,Unknown,8.2,N/A
152,A Beautiful Mind,Unknown,8.2,N/A
153,The Treasure of the Sierra Madre,Unknown,8.2,N/A
154,Prisoners,Unknown,8.2,N/A
155,Yôjinbô,Unknown,8.2,N/A
156,Finding Nemo,Unknown,8.2,N/A
157,Hauru no ugoku shiro,Unknown,8.2,N/A
158,The Great Escape,Unknown,8.2,N/A
159,Monty Python and the Holy Grail,Unknown,8.2,N/A
160,The Elephant Man,Unknown,8.2,N/A
161,Dial M for Murder,Unknown,8.2,N/A
162,Klaus,Unknown,8.2,N/A
163,Gone with the Wind,Unknown,8.2,N/A
164,Chinatown,Unknown,8.1,N/A
165,Rashômon,Unknown,8.2,N/A
166,El secreto de sus ojos,Unknown,8.2,N/A
167,"Lock, Stock and Two Smoking Barrels",Unknown,8.1,N/A
168,V for Vendetta,Unknown,8.1,N/A
169,Inside Out,Unknown,8.1,N/A
170,"Three Billboards Outside Ebbing, Missouri",Unknown,8.1,N/A
171,The Bridge on the River Kwai,Unknown,8.1,N/A
172,Catch Me If You Can,Unknown,8.1,N/A
173,Trainspotting,Unknown,8.1,N/A
174,Raging Bull,Unknown,8.1,N/A
175,The Wild Robot,Unknown,8.2,N/A
176,Fargo,Unknown,8.1,N/A
177,Warrior,Unknown,8.1,N/A
178,Harry Potter and the Deathly Hallows: Part 2,Unknown,8.1,N/A
179,Gran Torino,Unknown,8.1,N/A
180,Million Dollar Baby,Unknown,8.1,N/A
181,Ben-Hur,Unknown,8.1,N/A
182,Mad Max: Fury Road,Unknown,8.1,N/A
183,Tonari no Totoro,Unknown,8.1,N/A
184,Barry Lyndon,Unknown,8.1,N/A
185,Dead Poets Society,Unknown,8.1,N/A
186,Spider-Man: No Way Home,Unknown,8.2,N/A
187,Bacheha-ye aseman,Unknown,8.2,N/A
188,12 Years a Slave,Unknown,8.1,N/A
189,Hacksaw Ridge,Unknown,8.1,N/A
190,The Grand Budapest Hotel,Unknown,8.1,N/A
191,Before Sunrise,Unknown,8.1,N/A
192,Blade Runner,Unknown,8.1,N/A
193,Salinui chueok,Unknown,8.1,N/A
194,Gone Girl,Unknown,8.1,N/A
195,Ratatouille,Unknown,8.1,N/A
196,"Monsters, Inc.",Unknown,8.1,N/A
197,In the Name of the Father,Unknown,8.1,N/A
198,How to Train Your Dragon,Unknown,8.1,N/A
199,Relatos salvajes,Unknown,8.1,N/A
200,The Gold Rush,Unknown,8.1,N/A
201,Jaws,Unknown,8.1,N/A
202,Sherlock Jr.,Unknown,8.2,N/A
203,Mary and Max.,Unknown,8.1,N/A
204,Ford v Ferrari,Unknown,8.1,N/A
205,The Deer Hunter,Unknown,8.1,N/A
206,Le salaire de la peur,Unknown,8.1,N/A
207,The General,Unknown,8.1,N/A
208,Mr. Smith Goes to Washington,Unknown,8.1,N/A
209,On the Waterfront,Unknown,8.1,N/A
210,Logan,Unknown,8.1,N/A
211,Smultronstället,Unknown,8.1,N/A
212,Rocky,Unknown,8.1,N/A
213,The Third Man,Unknown,8.1,N/A
214,Tôkyô monogatari,Unknown,8.1,N/A
215,Spotlight,Unknown,8.1,N/A
216,The Big Lebowski,Unknown,8.1,N/A
217,The Terminator,Unknown,8.1,N/A
218,Maharaja,Unknown,8.4,N/A
219,Pirates of the Caribbean: The Curse of the Black Pearl,Unknown,8.1,N/A
220,Det sjunde inseglet,Unknown,8.1,N/A
221,Room,Unknown,8.1,N/A
222,La haine,Unknown,8.1,N/A
223,Jai Bhim,Unknown,8.6,N/A
224,Hotel Rwanda,Unknown,8.1,N/A
225,Platoon,Unknown,8.1,N/A
226,The Best Years of Our Lives,Unknown,8.1,N/A
227,Before Sunset,Unknown,8.1,N/A
228,The Exorcist,Unknown,8.1,N/A
229,The Sound of Music,Unknown,8.1,N/A
230,The Incredibles,Unknown,8.0,N/A
231,The Wizard of Oz,Unknown,8.1,N/A
232,La passion de Jeanne d&apos;Arc,Unknown,8.1,N/A
233,Hachi: A Dog&apos;s Tale,Unknown,8.1,N/A
234,Rush,Unknown,8.1,N/A
235,Stand by Me,Unknown,8.1,N/A
236,Babam ve Oglum,Unknown,8.2,N/A
237,Network,Unknown,8.1,N/A
238,The Iron Giant,Unknown,8.1,N/A
239,Ainda Estou Aqui,Unknown,8.2,N/A
240,Koe no katachi,Unknown,8.1,N/A
241,Ah-ga-ssi,Unknown,8.1,N/A
242,La battaglia di Algeri,Unknown,8.1,N/A
243,To Be or Not to Be,Unknown,8.1,N/A
244,The Grapes of Wrath,Unknown,8.1,N/A
245,Into the Wild,Unknown,8.0,N/A
246,Groundhog Day,Unknown,8.0,N/A
247,The Help,Unknown,8.1,N/A
248,Höstsonaten,Unknown,8.1,N/A
249,Amores perros,Unknown,8.0,N/A
250,Drishyam,Unknown,8.2,N/A
